selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
2300,5.7,0.08,Baby Girls' Striped Sleeveless Shirt Dress For Summer,null,null,
1300,7.95,0.44,"3pcs/Set Baby Girls"" Basic And Versatile Spring Floral Polka Dot Print Cute Homey And Elegant Dress",null,null,
,15.9,0.08,Baby Girl Summer Casual Flower Embroidery Short Sleeve Shorts Denim Suit,null,null,4
3400,5.7,0.28,Baby Boy Coconut Tree & Letter Graphic Tee & Bow Front Shorts,null,null,6
50,6.6,0,"2pcs Toddler Boys' Casual Rocket Pattern Printed Round Neck Short Sleeve T-Shirt And Shorts Set, Summer",null,null,
3200,5.6,0,Baby Girl 2pcs Cute Rainbow Striped Knitted Flower Cami Top & Frill Trim Shorts Outfit For Summer,null,null,
,1.6,0.5,"1pc Orange Glitter Kids' Sun Hat With Butterfly Decoration, Summer New Mesh Breathable Children's Baseball Cap, Cute Baseball Cap, Sun Protection Cap, Suitable For Girls",null,null,4
400,3.2,0,"6pcs Carrot And 1pc Baby Carrot Pulling Tissue Box Toy, Can Be Washed And Torn-resistant, Early Education And Intelligence Building Play Set With Number Game, Suitable For Indoor And Outdoor Use In Daily Life",null,null,
,10.5,0.07,"30 Pairs Unisex Thin Breathable Comfy Deodorant Sweat-Absorbing Low Cut Ankle Socks, Casual Plain Color Socks, Children's Socks & Hosiery For Summer",null,null,
3700,4.75,0.09,Baby Girl's Cute Cartoon Animal Printed Sleeveless Dress For Spring,null,null,
1400,7.6,0.07,Baby Girls' Hooded Bathrobe With 3d Ear Design And Waist Belt Included,null,null,8
,4.9,0.08,"Baby Boys' Fun Letter Printed Short Sleeve Romper, Summer",null,null,
3400,4.45,0.33,"2pcs Baby Girls' Cute And Stylish Floral Printed Strappy Dress And Hat Set, Suitable For Summer Vacation",null,null,12
3200,10.7,0.09,"Baby Boy 3pcs/Set Casual Letter Print Short Sleeve Shirt, Shorts And Hat Outfits For Spring",null,null,
2000,9.6,0.09,Baby Girl Satin Elegant And Lovely Fashion Contrast Piping Shirt & Shorts Set,null,null,10
1700,9.9,0.07,Baby Girl Summer Casual Sleeveless Denim Dress With Button Closure And Matching Bag,null,null,
,1.57,0.51,"1pc Plain Color Towel, Absorbent & Quick-Drying Showering Towel, Super Soft & Skin-Friendly Bathing Towel, For Home Bathroom, Ideal Bathroom Supplies",null,null,5
7500,4.9,0.09,SHEIN Baby Girl 2pcs/Set Tie-Dye Round Neck Short-Sleeved T-Shirt Elastic Waist Butterfly-Knotted Shorts Casual Summer Outfit,null,null,
80,11.5,0.07,"6pcs Toddler Girls' Colorful Daily Wear, Casual, Cute, Comfortable Sports Shorts Legging Set For Spring And Summer, Suitable For Home And Outdoors",null,null,
1500,12.1,0.08,Summer New Arrivals Baby Girls' Cute Strawberry Printed T-Shirt And Denim Shorts With Belt 2pcs Outfits,null,null,5
,11.3,0.08,2pcs/Set Baby Girl Summer Short Sleeve Round Neck Floral Embroidered Top & Denim Skirt Outfits,null,null,4
7100,6.37,0.12,Baby Boys' Casual And Versatile Letter Patterned Comfortable Short Sleeve And Shorts Set For Home,null,null,
1400,3.15,0.27,Summer Baby Boy Cute Slogan Printed Short Sleeve Bodysuit,null,null,
1100,4.11,0.44,Baby Girl Fashionable Short Sleeve Letter Print Top & Leopard Print Bottom Set For Summer,null,null,
100,6.1,0.06,"Baby Boys' Cute Turtle And Letter Printed Short-Sleeve Outfit Set, Summer",null,null,
1100,4.5,0.1,"SHEIN Baby Girl Striped Romper With Spaghetti Straps, Comfortable, Cute And Sweet, Suitable For Summer",null,null,11
