selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
80,6.8,0,In   Women s High Waist Body Shaper Tank Top  Zipper Compression Bra For Ultimate Control And Slimming  Abdominal Fat Tight Slimming Vest  Exercise Clothes For Tummy Control   Shaping  Sauna Top  Workout Clothes For Running  Gym  Yoga  Pilates  Body Shaper Waist Trainer Compression Bra,,,
,8.81,0.3,SHEIN Yoga Sxy Plus Contrast Mesh Wideband Waist Sports Leggings,10,in Running & Work Out Women Plus Activewear,
7200,7.79,0.25,SHEIN Running Wideband Waist Dolphin Hem Sports Shorts,,,14
300,5.52,0.3,Yoga Basic Seamless Back Closure Sports Bra,,,6
,3.8,0.05,pcs Neoprene Sauna Sweat Arm Bands Compression Sports Arm Sleeves Workout Elbow Brace Protector Gear For Men And Women Boxing Arm Trimmers Provides Support      New Summer,3,in Barcer,
40,11.29,0.07,Plus Size Women s Solid Color Pleated Workout Mini Skirt,,,
,8.54,0.25,SHEIN Sport Gameset Ombre Yoga Leggings Seamless High Stretch Hollow Out Training Tights With Wide Waistband,3,in Cut Out Women Sports Leggings,
,5.66,0.3,Yoga Basic Seamless Raglan Sleeve Sports Tee Gym Top,3,in Running & Work Out Women Sports Tees & Tanks,23
1100,6.37,0.25,SHEIN Sport Studio Letter Graphic Wideband Waist Sports Shorts With Phone Pocket  Blue Shorts Women Tennis Outfit,,,4
,10.64,0.25,Quick Dry Comfortable Ice Silk Sports Pants   pc Men s Casual Running Pants  Zipper Pocket  High Elasticity Waistband With Drawstring  Suitable For Summer Gym Exercise  Training And Jogging,1,in All Over Print Men Active Bottoms,4
,13.38,0.31,SHEIN Sport Studio Plus Size Seamless Tank Top And Shorts Active Set,9,in Women Plus Activewear,
40,7,0,Portable Outdoor Party Stage Bubble Blower Toy  Full Automatic Bubble Blowing Machine With One Click Operation  Battery And Bubble Water Not Included   Summer Pool Toys Suitable For Pool Games Pool Party,,,
,11.49,0.12,SHEIN EZwear Women s Spider Web Pattern Zip Up Hoodie,7,In Long Sleeve Women Sweatshirts,
,7.04,0.25,Wide Waistband Sports Skort With Phone Pocket,4,in Plain Women Sports Skirts & Skorts,5
,18.14,0.31,SHEIN Yoga Basic Women Pit Strip Yoga Sportswear Set,2,in Asymmetrical Neck Women Activewear,6
,2.42,0.22,pc Letter Series   Black Base Colorful Letters   Holographic Flower Pattern Cute Heart Printed Apron  Perfect For Parties And Weddings  Made Of Peach Skin Fabric,7,in Aprons,
,1.36,0.55,pc Summer Outdoor Sports Universal Waterproof Phone Case Water Proof Bag Swim Cover Beach Bag With Floating Airbag Mobile Phone Waterproof Bag  Cruise Essentials Sport Bag Sports Bag Universal Touch Screen Lanyard Mobile Phone Bag Swim Dive Protective Cover Sports Bag School Supplies School Stuff For School For Student Phone Case  Outdoor Sports Beach Phone Protective Bag   Beach Accessories  For Boating Swimming Snorkeling Kayaking Beach Pool Water Park Sport Bag Phone Pouch For Vacation For Exercise For TravelFor IPhone          Pro Max X XS   Samsung And Other Cell Phones,9,in Waterproof Cellphone Pouches,5
,54.42,0.28,Sweetcrispy Set Of   Zero Cravity Lounge Chairs Ergonomic Adjustable Lying Angle Sturdy Steel  Mesh Support Outdoor Patio Folding Recliners For Pool Beach With Pillow And Cup Holder,4,in Beach Chair,
,1.2,0,Pair Essential Ankle Socks  Soft   Lightweight All Match Low Cut Ankle Socks  Women s Stockings   Hosiery,1,in Athletic Socks,
