selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
10000,11.69,0.13,Manfinity Homme Loose Fit Men's Cargo Shorts With Flap Pockets And Drawstring Waist,,,11
500,9.09,0.13,Manfinity Homme Men Fashion Print Short-Sleeve Loose T-Shirt,,,8
100,10.49,0.13,Manfinity RSRT Men Plus Size Solid Color Button Polo Collar Short Sleeve Casual T-Shirt For Summer,,,
,13.1,0.17,Manfinity EMRG Men's Summer Car Letter Printed Round Neck Short Sleeve Casual T-Shirt And Drawstring Waist Shorts Set,8,in Graphic Men T-Shirt Co-ords,
4300,8.59,0.13,Manfinity Hypemode Men Cartoon Graphic Drawstring Waist Shorts,,,
,11.19,0.13,Manfinity LEGND Double Layer Drawstring Letter And Cross Print Casual Shorts For Summer,1,in Letter Men Shorts,
,4.27,0.53,Men Letter Printed Casual Short Sleeve T-Shirt With Round Neck For Spring And Summer,,,
,18.19,0.13,Manfinity Hypemode Bear Print T-Shirt And Shorts Knitting Casual Two-Piece Set,6,in Animal Men Co-ords,11
,8.58,0.15,Manfinity EMRG Men Floral & Slogan Graphic Drop Shoulder Tee,1,in Floral Men T-Shirts,7
5000,11.58,0.18,Manfinity Homme Men Drawstring Waist Slant Pocket Shorts,,,6
500,7.45,0.29,Manfinity LEGND Men Plus Slogan Graphic Tee,,,5
10000,24.44,0.14,Manfinity Hypemode Men'S Knitted Casual Printed Two-Piece Set,,,
,8.69,0.13,Men's Bear Print Round Neck Short Sleeve T-Shirt,3,In Cartoon Men Clothing,5
,5.89,0.51,Manfinity Basics Men's Drawstring Waist Casual Woven Shorts,7,in Purple Men Clothing,9
10,9.01,0.61,Manfinity Homme Men Plus Size Summer Casual Color Block Short Sleeve T-Shirt And Shorts Set,,,
,15.29,0.14,Manfinity LEGND Men Summer Gradient Letter Printed Round Neck Short Sleeve Casual T-Shirt And Shorts Set,9,in Pocket Men T-Shirt Co-ords,9
300,8.89,0.33,Manfinity Homme Men Geometric Printed Long Sleeve Shirt For Spring And Autumn,,,8
1700,9.99,0.13,Manfinity Homme Men's Solid Color Polo Shirt,,,5
,8.59,0.13,Manfinity EMRG Men Eye & Letter Graphic Drop Shoulder Tee,6,in Khaki Men Tops,6
,25.79,0.12,Manfinity ResortEase Men's Plus Size Geometric Dark Striped V-Neck Short Sleeve T-Shirt And Loose Casual Shorts Summer Set,9,in White Men Plus Size Co-ords,
,9.99,0.13,Manfinity Hypemode Loose Fit Men's Drawstring Waist Shorts With Letter Patch Detail,2,in Orange Men Shorts,6
10000,14.79,0.07,"Manfinity Men's Solid Color Tank Tops, Multiple Pieces",,,10
1500,12.49,0.07,Manfinity Basics Men Solid Drawstring Waist Pants,,,8
,16.49,0.07,Men Ripped Frayed Denim Shorts,1,in Denim Men Clothing,7
,13.19,0.06,Manfinity Homme Men Solid Button Up Shirt,3,in White Men Shirts,4
900,12.99,0.13,Manfinity Homme Men's Summer Solid Short Sleeve Polo Shirt For Casual And Work,,,
100,16.96,0.16,Manfinity Homme Men Solid Shirt & Drawstring Waist Shorts Without Tee,,,4
,7.49,0.12,Manfinity EMRG Round Neck Race Car And Letters Print Short Sleeve T-Shirt For Summer,4,in Animal Men T-Shirts,5
6200,11.59,0.13,Manfinity Men's Short Sleeve Polo Shirt With Colorblocking Design,,,17
,4.78,0.49,Men's Round Neck Casual & Business Letter Printed T-Shirt,10,in Geometric Men T-Shirts,6
6100,16.89,0.13,Manfinity Homme Men'S Solid Color Short Sleeve T-Shirt And Shorts Set,,,6
,12.69,0.14,Manfinity EMRG Men's Loose Fit Drawstring Waist Flip Pocket Cargo Shorts,9,in Plain Men Shorts,9
10000,11.49,0.14,ROMWE Street Life Men's Skull & Paisley Print Drawstring Waist Shorts,,,8
2700,4.02,0.58,Manfinity Men Tropical & Letter Graphic Tee,,,5
,8.79,0.12,Men Drawstring Waist Track Shorts,8,in Loose Men Clothing,16
,15.99,0.14,Manfinity Chillmode Men Tropical Print Tee & Drawstring Waist Shorts,1,in Woven Fabric Men T-Shirt Co-ords,6
200,8.54,0.5,Manfinity Hypemode Men Solid Ribbed Knit Top,,,4
2600,17.38,0.17,Manfinity KASUA Men's Solid Colored Drop Shoulder Loose T-Shirt & Shorts Set,,,6
3900,15.67,0.17,Manfinity Hypemode Men Slogan Graphic Tee & Shorts,,,
,11.59,0.13,Manfinity Men's Short Sleeve Polo Shirt With Colorblocking Design,10,in Plain Men Polo Shirts,17
,14.99,0.12,Nearly There Spain Solo Cups Mens Graphic Cotton Tank Top,,,
,4.47,0.61,DAZY Men's Summer Solid Color Round Neck Short Sleeve Casual T-Shirt,,,8
1000,8.79,0.12,Manfinity EMRG Loose Men Letter & Bull Head Print Round Neck T-Shirt,,,10
,14.99,0.12,Nearly There Italy Solo Cups Mens Graphic Cotton Tank Top,,,
10000,10.79,0.13,Manfinity Mode Men Allover Print Contrast Trim Polo Shirt,,,
,12.99,0.06,Manfinity EMRG Men Cross Print Drawstring Waist Sweatpants Long Flare Going Out Goth Friends,1,in Pocket Men Sweatpants,7
40,4.55,0.65,Manfinity Homme Men's Knitted Multi-Pocket Cargo Shorts,,,
3300,11.59,0.06,Manfinity Homme Men Ombre Button Up Shirt Without Tee,,,4
1300,11.29,0.14,Manfinity Loose Fit Men's Cargo Shorts With Flap Pockets & Drawstring Waist,,,10
100,4.76,0.65,Manfinity Sporsity Men's Summer Casual Color Block Patchwork Short Sleeve Polo Shirt,,,12
2800,11.49,0.07,Men's Drawstring Waistband Pocket Beach Shorts With Wavy Print,,,6
300,10.59,0.06,"Men's Corduroy Casual Shorts, Versatile Bermuda Shorts",,,10
6000,7.49,0.13,Men Solid Round Neck Tee,,,29
1700,18.81,0.16,Manfinity Basics Men'S Solid Casual Short Sleeve T-Shirt,,,12
2900,11.68,0.11,Manfinity Homme Men Lapel Collar Button Front Shirt,,,13
,14.99,0.12,Nearly There Japan Solo Cups Mens Graphic Cotton Tank Top,,,
2500,11.89,0.13,Manfinity LEGND Loose-Fitting Men's Letter Patch Detail Flap Pocket Drawstring Waist Cargo Shorts,,,4
10,3.74,0.66,Men Fashion Loose Fit Color Block Design Casual Shorts,,,
3600,8.59,0.12,Manfinity Homme Men Fashionable Short-Sleeved T-Shirt With Gradient Color And Printed Pattern For Summer,,,11
