selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
60,20.2,0.2,"Women's High Heel Wedge Sandals, New Style, Waterproof Platform, Fashionable Butterfly Decoration, Rhinestones, Popular Among Girls",,,15
100,3.5,0,"2pcs/1 Pair Compression Arch Support Brace For Men & Women - For Flat Feet, High Arches, Fallen Arches, Heel Fatigue - Unisex Orthotic Support - Ideal For Weight 40~70kg",,,
,12.6,0.18,"Ladies' Fashionable Hollow Out Flat Shoes, Comfortable & Non-slip",3,In Multicolor Women Flats,23
,19.99,0.71,Womens Slip On Mules Round Toe Slippers,,,5
,17.3,0.18,"Summer Hollow Out New Style Pu Leather Driving Loafers For Middle Aged & Elderly Women, Soft Bottom Wedge Heels Loafers",2,In Khaki Women Flats,32
10,21.6,0.13,Women Minimalist Platform Lace-Up Combat Boots Side Zipper Fashion Boots Chunky Heel Ankle Booties,,,
,11.3,0.2,"Women's Circle Gold Decorative Buckle Hollow Out Clip-Toe Flat Sandals, Summer Holiday Style Lightweight Fashionable Flat Sandals",7,in Edgy,4
3500,1.7,0.29,"6pcs 3pairs Silent, Slip-resistant Heel Protectors For High Heels, Transparent",,,
,10.2,0.18,Metallic Crocodile Patterned Fancy Stylish Outdoor Sandals,3,in Causal,9
,9.6,0.23,"New Women's Simple And Comfortable Warm Indoor Slippers For Autumn And Winter, Home/Bedroom Use",,,
,18.2,0.25,"Sporty Running Shoes For Men, Canvas Geometric Pattern Lace-up Front Sneakers",1,in Men Canvas Shoes,6
200,10.6,0.21,Rainbow Bow Tie Women's Flat Sandals Comfortable Massage Insole Multicolored Beach Sandals,,,
500,2.1,0.28,Clear Shoe Repair Adhesive Low Odor Strong Adhesive Soft Resin Shoe Glue For Fixing Worn Shoes Or Boots,,,
,9.8,0.23,"Women Simple And Comfortable Open Toe Plastic Slippers, Lightweight Waterproof Anti-Skid Thick-Soled Sandals, Suitable For Wearing In Bathroom, Student Dormitory, Swimming Pool, Beach",2,In Brown Women Slides,
2400,10.6,0.2,Women's Flat Heel & Loafers & Fashionable Sandals & Comfortable Slippers,,,24
40,33.6,0.21,"Women's Pink High-top Thick-soled Sneakers With Thin Straps, Round Toe And Shoelaces",,,
,20.9,0.21,"Fashionable Wedge Slide Sandals For Women, All Over Print Lace-up Front Metal & Chain Decor Sandals",1,In Beige Women Sports Sandals,
60,14.4,0.25,Women's Casual Outdoor Flat Sports Shoes PU All-Match Minimalist  Shoes,,,
2200,22.34,0.19,Women Black Bow & Fringe Decor Slip On Loafers Breathable Flats Shoes,,,6
3100,13.8,0.21,"Women Multi Strap Chunky Heeled Sandals, Elegant White Slingback Sandals",,,11
,21.3,0.19,Fashionable Black Patent Leather High Heels With Pointed Toe And Decorated Buckle For Women,4,In Black Women Pumps,6
,30.94,0.14,Isotoner Women's Embroidered Pearl Satin Ballerina Slippers,,,
,14.6,0.24,"Ladies"" Fashionable Daily Simple Casual Shoes 2024 New Model Comfortable Cow Tendon Soft Bottom Sewing Thread Mom Shoes",3,In White Women Flats,8
70,11.3,0.2,2024 Women's New Summer Elegant Comfortable Strap Holiday Plus Size Flat Sandals Khaki,,,7
,3.8,0.24,20pcs Removable Vintage Diy Faux Pearl Flower Garden Shoe Buckle & Chain Decoration For Holey Shoes,1,In White Shoe Decorations,6
10,15.75,0.3,Women Slip On Flat Mule Comfortable Backless Shoes Slide On Loafers,,,
1700,9.99,0.49,Womens Sandals Shoes Summer Beach Shoes Comfort Walking With Non Slip On Casual,,,
400,6.86,0.57,"Women's High Heel Peep Toe Shoes, Fashionable French Style Pointed Pumps For Spring And Summer",,,
800,13.9,0.21,Women's Wedge Platform Sandals 2024 New Summer Woven Rope Wedge Slippers Waterproof Platform Sandals With Metal Buckle White Slippers,,,
,12.3,0.21,Multicolor Rhinestone Bow & Multiple Straps Two Way Wear Women's Slippers For Summer/Autumn/French Style/Chic Silver Color,1,In Hot Pink Women Shoes,33
600,1.9,0.3,"1pair 100cm Silicone Invisible Adhesive Cushion Insole Pads For High Heels, Anti-Slip And Anti-Wear Foot Protectors",,,
,6.16,0.47,Cross-Border Ladies Fashionable & Gorgeous & Personalized Sandals,5,In Red Women Flats,4
50,1.3,0.35,"2pcs High Heel Caps Heel Protectors Replacement, Non-Slip And Noise Reduction",,,
400,14.7,0.21,New Summer Fashionable Casual Hollow Out Breathable Women French High Heel Sandals,,,13
30,11.44,0.45,New Arrival Elegant Women's Thick Bottom Boots For Autumn/winter,,,
600,12.23,0.25,"Couple's Water Shoes For Hiking, Diving, Swimming, Outdoors, Anti-Slip, Sandproof, Beach Shoes Swim Shoes Aqua Shoes Barefoot Shoes",,,
,20.71,0.25,"Women Pom Pom Trim Sandals, Vacation Summer Wedge Slide Sandals",9,in Mid Heel Women Platforms & Wedge Sandals,
,9.6,0.24,Women's Fashionable Crystal Clear One-strap Flat Sandals Slippers,5,In Brown Women Shoes,6
2400,2.5,0.26,"5-toe Sticky Forefoot Pad, Arch Support & Massage & Half Metatarsal Pads, Anti-slip Insoles For High Heels Women",,,
,7.6,0.25,"Men's Soft Sole Breathable Water Shoes For Beach, Swimming, Outdoor And Wading",2,in Basic Slides for Men,
,12.2,0.2,Women Summer Woven Flat Sandals Lightweight Slip Resistant Beach Sandals Randomly Patterned Bohemian Style Vacation Sandals,2,In Beige Women Shoes,15
,13.11,0.43,SHEIN SHUZIA Open Toe One Band Wedge Slide Sandals,2,In Green Women Platforms & Wedge Sandals,
,1.6,0.33,8pcs Blue Devil Eye Pattern Detachable Shoe Charms For Diy Accessories,2,In Blue Shoe DIY Decorations,
,2.26,0.54,Fashion Women Soft Shower Slippers Indoor Bathroom Anti-Slip Flat EVA Sandals Beach Flip Flops,1,in Women Slippers Below $3.99,
300,4.59,0.67,"New Fashion Women's Slip-On Thick-Soled Sandals With Soft And Comfortable Double Buckle, Non-Slip Sole And Cushioning Effect, Simple But Soft Shoes",,,
,11,0.2,"Cross-Border Foreign Trade Summer New Orange Casual Toe-Hole Slippers, Size 35-45, Ideal For Daily And Beach Wear, Round-Toe, Soft Bottom, Women's Wedge And Thick-Soled Sandals",5,In Orange Women Platforms & Wedge Sandals,7
100,1.7,0,"1pair Super Soft Women's Comfort Insoles - Self-Adaptive Elasticity, Breathable, Sweat-Absorbent - Ideal For Sports And Casual Shoes, Pink",,,
,20,0.18,"New Thick-Soled Wedge Heel Shoes, Pointed Toe, High Heel, Platform, Low Heel, Chunky Heel, British Style, Fashionable, All-Match, Deep Mouth, Bow Tie, Women's Shoes",1,in Women Pumps,15
200,7.5,0.2,"New Spring/Summer H Slippers Women Fashionable And Casual Style Roman Style Flat Slippers, Comfortable Slip-On With Embossed Design, In Black/Beige/Brown Colors. Recommended By Fashion Bloggers, These Slippers Are The Perfect Sandals For The Beach. They Have A French High-End Feel, Crystal Decoration And A Thick Bottom, As A New Fairy Style Flat Slipper. The Simple And Chic Indoor And Outdoor Anti-Odor, Non-Slip Flat Slippers With Crocodile Pattern And Metallic Decor Are Easy To Match. Enjoy The True Spirit Of Summer With These Casual, Trendy And Comfortable Slippers.",,,9
400,2.5,0.26,"Extra Long Handled Shoe Horn (Adjustable10-24.8 Inches) - Metal Shoehorn For Men And Women- Large Standing Reach Assist For Seniors,Shoe Spoon, Shoehorn Long-Handle",,,
2600,2.8,0.26,"19pcs The Disney Characters Family Shoe Decorations Shoe Accessories Charms For Clogs  Bubble Slides Sandals, Gift Idea For Birthday Christmas  Halloween Party Favors",,,
500,12.67,0.21,Women's Fashionable And Sexy Bowknot Flat Slide Sandals Vacation Shoes Summer Sale,,,
900,13.3,0.25,"Women Casual Sports Shoes Mesh Breathable Comfortable Lightweight Lace-Up Sneakers In Solid/Bright Colors, Anti-Slip & Wear-Resistant",,,17
1200,2.3,0.28,"Lots Of Random Style Shoe Charms For Clogs Sandals 20Pcs PVC Shoe Decorations Accessories For Christmas, Birthday, Party, Gift Shoes Pins For Teens Men Women And Adults",,,4
70,10.28,0.47,"Quick-Drying Breathable Water Shoes For Men And Women, Best For Swimming, Diving, Surfing, Fishing And Beach Play, Couples And Parent-Child Style Available",,,4
200,2.1,0,"2 Pairs/ Of Summer Ankle Support Silicone Invisible Anti-Wear Heel Patches, Can Be Used For High Heels, Sports Shoes, Leather Shoes, Suitable For Various Shoe Types To Adjust The Patches",,,4
7400,10.68,0.21,Ladies' Crossed Fabric Strap Lightweight Outdoor Sandals,,,22
,2.8,0.26,"19pcs The Disney Characters Family Shoe Decorations Shoe Accessories Charms For Clogs  Bubble Slides Sandals, Gift Idea For Birthday Christmas  Halloween Party Favors",10,In Multicolor Shoe Decorations,
,10.68,0.21,Ladies' Crossed Fabric Strap Lightweight Outdoor Sandals,8,In Beige Women Sandals,22
,13.3,0.25,"Women Casual Sports Shoes Mesh Breathable Comfortable Lightweight Lace-Up Sneakers In Solid/Bright Colors, Anti-Slip & Wear-Resistant",9,In White Women Casual Shoes,17
60,1.26,0.61,"12pcs Sleeping Stars Series Shoe Decoration Flower, Used For Diy Flip Flop Ornament Buckle",,,
,3.4,0.24,"24pcs/Set Hollow Shoes Decor With Butterfly, Flower, Heart, Rhinestone And Chain, Gold Shoe Buckles, Non-Integrated Insert Buckle",1,In Gold Shoe DIY Decorations,
3100,11.98,0.22,Transparent Flat Fashionable And Comfortable Beach Sandals,,,14
300,2.3,0.28,"16 PCS Pink Series Theme Pattern Cute Shoe Charm Suitable For Crocodile Charm DIY Decorative , Pen Cases, Bags, Phone Case Accessories And Party Gifts",,,
,19,0.21,"Sporty Sneakers For Women, Two Tone Lace-up Front Running Shoes",8,In Blue Women Sneakers,19
40,1.77,0.46,"1pc Crystal Fringe Rhinestone Chain Shoe Decoration, Removable Chain Suitable For  Boots, Sports Shoes, Canvas Shoes",,,
200,16.7,0.19,"Women's High Heel Sandals With Transparent Crystal Chunky Heels, Fairy Style, Unique Personality With Clear Straps Party Shoes, Pvc",,,
100,11.84,0.38,Women's Fashion Casual Shoes Neutral Sports Shoes Comfortable Breathable Walking Shoes Mesh Workout Sneakers Lightweight Running Shoes Brown,,,9
700,18.4,0.21,"Women Rhinestone & Bow Decor Slide Sandals, Glamorous Sandals",,,
,22.3,0.21,"Rhinestone Decor Clear Band Sculptural Heeled Mule Sandals, Blue Party Crystal Detail Solid Color Mules Heels",8,In Blue Women Heeled Sandals,16
,11,0.16,"Women's Flat Round-Toe Soft Leather Braided Multi-Strap Bohemian Style Sandals, Solid Color, Perfect For Everyday Wear, Beach Parties, Music Festivals And Summer Gatherings",1,in Wide Fit Sandals,4
100,12.8,0.2,Espadrille Wedge Heel Women Sandals With Clear Strap And Thick Bottom,,,
,11.9,0.17,"Plus Size Fashionable Sweet Bow Knot Pink Flat Shoes, Pointed Toe, Outdoor And Daily Spring & Autumn New Shallow Slip On Flat Shoes For Women, Work Shoes",1,In Hot Pink Women Flats,24
4900,9.98,0.24,"Women's Elegant And Fashionable Beige And Black Flat Slippers, Suitable For Spring And Summer, With Square Toe And Versatile Design, Ladies' Comfortable Soft-Sole Flat Slides, Anti-Slip And Wear-Resistant Indoor And Outdoor Flat Slippers, Women's Lightweight And Casual Flat Sandals, Simple And Versatile Design",,,
400,16.7,0.2,"Women Retro Round Toe Lace-Up Comfortable  Flat Sneakers, Casual And Breathable For Daily Wear, Running, Solid Color Athletic Shoes",,,7
1300,20.8,0.21,Women's Fashionable Silver One Word Diamond Square Toe Crystal 5.5cm Pc High Heel Sandals For Evening Party Outing,,,10
100,5.29,0.5,"Unisex Warm Embroidered Plush Pet Dachshund Cute Design Slipper With Thick Sole, Festival Gift",,,
80,12.34,0.43,Platform Thick Sole Roman Women Sandals Summer New Korean Round Toe Fish Mouth Crystal Flat Bottom Wedge Heels,,,
,15.1,0.21,"Women Metallic Braided Detail Ankle Strap Wedge Sandals, Glamorous Summer Sandals",8,In Gold Women Platforms & Wedge Sandals,31
1600,16.2,0.21,"Women's Flat Sandals, 2024 New Arrival, Simple And Elegant Style, Popular In Europe And America, Perfect For Parties. These Roman Sandals Are Decorated With Rhinestones And Silver Trim, Which Are Great For Casual Events Or Camping Trips.",,,16
60,8.2,0.5,2024 New Arrival Women's Casual Pagoda Tower Sport Sandals,,,
1200,20.1,0.21,"Women Snakeskin Embossed Ankle Strap Wedge Sandals, Vacation Summer Sandals",,,
400,19.4,0.18,"Minimalist Point Toe Penny Loafers, Black Elegant Women's Solid Color Flat Shoes",,,
200,20,0.18,"Bow Decor Square Toe Flats, Black Preppy Style Bowknot Solid Color Women's Flat Shoes",,,
,12.4,0.18,"Women Faux Pearl Decor Point Toe Ankle Strap Flats, Elegant Apricot Faux Suede Pumps",4,In Apricot Women Flats,8
1600,13.9,0.21,"Women Summer New Style Flat Toe Sandals With Butterfly Decoration, Elastic Strap And Beach Flip Flops",,,4
20,2.7,0.27,"60pcs Silicone Gel Shoe Patch Pad, High-Sticking Foot Care Glue, Colloidal Pad, Transparent Ultra-Thin Heel Patch",,,14
70,1.34,0.39,"Summer Thin High Heel Insoles And Invisible Breathable Anti-Slip Shallow Socks, Suitable For Sneakers And White Shoes",,,
,25.7,0.18,Chunky Heel Pointed Toe Color Block Waterproof Platform Hollow Out Pumps,4,In Black and White Women Pumps,7
600,13.97,0.41,"Women's Glitter Lace-Up Sports Shoes, Lightweight Casual Walking Shoes, Anti-Skid Running Shoes",,,
,9.7,0.37,SHUZIA Pointed Toe Penny Loafer Slip On Flats,1,In Green Women Flats,
,13.4,0.23,Double Buckle Strap Slide Sandals,5,in Women Slippers,14
80,21.4,0.2,"Women's Wedge Heels, Thick-Soled, Silver/Gold-Colored Sandals, Water Platform Slippers, Holiday Style, Casual, Black Slippers, Flower-Shaped Beach Sandals, Elegant, Summer, Fashionable, Women's Thick-Soled Slippers, Comfortable And Well-Fitted Shoes, Party/Evening Dress Shoes",,,
,12.15,0.6,"Women's Thick-Soled Increased Height Casual Shoes For All Seasons, Breathable Comfortable Design, Lace-Up Closure, Trendy Style, Versatile Lightweight, Suitable For Sports And Everyday Wear",10,In Blue Women Casual Shoes,
,14.7,0.21,"New Arrival Summer Fashionable Wedge Sandals For Women With Back Strap, Gold, Middle-Aged, Simple And Comfortable Style",6,In Gold Women Platforms & Wedge Sandals,24
,21.3,0.19,Women's High Heel Pointed Toe Color Block Shoes With Bowknot & Back Strap,1,In Black and White Women Pumps,
