selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
3900,17.12,0.08,SHEIN LUNE Plus Size Solid Color Batwing Sleeve Top And Shorts Casual Two Piece Set,,,23
2500,12.05,0.34,SHEIN VCAY Plus Size Printed Front Open Top And Shorts Set,,,6
2300,10.79,0.07,SHEIN Priv̩ Plus Size Summer Casual Short Sleeve Shirt With Mandarin Collar,,,12
3200,13.49,0.08,SHEIN Priv̩ Plus Two Tone Asymmetrical Hem Belted Dress,,,
,11.99,0.06,SHEIN LUNE Plus Size Summer Casual Geometric Print V-Neck Fringed Hem Sleeveless Dress,1,In White Plus Size Dresses,
1300,5.85,0.41,SHEIN Clasi Plus Size Solid Color Decorated Button Curved Hem T-Shirt,,,17
40,3.52,0.6,SHEIN LUNE Cute Colorful Polka Dot Slim Fit Plus Size Women's Wide-Shoulder T-Shirt With Round Neckline,,,
200,7.57,0.34,EMERY ROSE Plus Size Summer Flower Printed Casual T-Shirt,,,
3100,13.96,0.12,SHEIN WYWH Plus Off Shoulder Knot Front Ruffle Trim Blouse,,,10
6500,16.39,0.14,Plus Solid Roll Up Hem Denim Shorts,,,11
2000,22.79,0.08,SHEIN MOD Plus Size Women's Boho Front Lacing Strap Cami Dress,,,4
1100,5.55,0.4,SHEIN Priv̩ Plus Keyhole Neck Puff Sleeve Blouse,,,14
,9.99,0.07,SHEIN EZwear Women's Plus Size Checked Short Sleeve T-shirt With Round Neck,3,In Beige Plus Size T-shirts,12
,13.79,0.08,SHEIN VCAY Plus Size Women's Batwing Short Sleeve Dress With Plant Print,4,In Boho Plus Size Dresses,
3300,13.09,0.08,SHEIN Swim Vcay Summer Beach Plus Size Women's One-Shoulder Swimsuit Bikini Set With Random Print Pattern,,,5
2600,12.89,0.07,SHEIN VCAY Plus Ruffle Hem Tube Dress,,,7
3400,10.79,0.07,SHEIN WYWH Plus Size Women Tie Neck Mushroom Hem Bubble Sleeve T-Shirt,,,6
,33.99,0,Plus Size Sheer Mesh Splice V-Neck Cake A-Line Party Dress,,,
2500,17.89,0.07,SHEIN Clasi Plus Size Women's Plant Printed Dress,,,9
,14.79,0.07,SHEIN VCAY Plus Size-Size Holiday Round Neck Puff Sleeve A-Line Dress With Feather Print,2,In Casual Plus Size Dresses,
5100,17.09,0.13,SHEIN Essnce Plus High Waist Ripped Roll Up Hem Denim Shorts,,,8
,20.09,0.08,"SHEIN Priv̩ Plus Size Elegant Wide-Legged Jumpsuit With Delicate Drape Neckline, Pleats & Loose Fit - Perfect For Summer Outings And Casual Shopping",,,
1800,23.06,0.08,SHEIN VCAY Plus Size Ruffled One Shoulder Vacation Dress,,,
5500,10.09,0.06,SHEIN Slayr Slayr Plus Size Loose Fit Green A-Line Dress With Non-Elastic Woven Poplin And Twist Detailing For Vacation And Leisure,,,9
500,5.65,0.33,SHEIN LUNE Plus Slogan Graphic Tee,,,
100,3.13,0.67,SHEIN LUNE Women Vintage V-Neck Simple Daily Plus Size T-Shirt,,,
1300,10.59,0.08,SHEIN LUNE Plus Size Marble Print Sleeveless Dress,,,
,61.59,0,Women's Solid Color Simple Everyday Dress With 3D Flower Decoration And Off Shoulder Design,,,
,4.89,0.08,SHEIN Slayr Plus Size Summer Casual Sleeveless Top With Hollow Out Stand Collar And Slim Fit,9,in Crop Tops,5
2200,7.99,0.06,SHEIN Essnce Plus Size Women's Valentine's Day Heart Print Round Neck Short Sleeve T-Shirt,,,14
1900,7.99,0.06,SHEIN Essnce Plus Size Fashionable Minimalist Heat Transfer Printing Casual Short Sleeve T-Shirt,,,7
,12.29,0.08,SHEIN Essnce Plus Size Women Solid Color Stand Collar Shirt With Twist Knot Front Tie And Cinched Waist,4,In Black Plus Size Blouses,5
2000,11.29,0.07,SHEIN VCAY Plus Size Loose Round Neck Short Sleeve Vacation T-Shirt,,,4
2500,8.89,0.06,SHEIN LUNE Plus Size Women's Cool Slogan Printed T-Shirt,,,14
2800,11.19,0.08,"SHEIN LUNE Plus Size Women Colorful Plant Printed Bubble Sleeve Pink Shirt With Lace Trimmed Neckline & Hem, Perfect For Summer Parties, Holidays And Casual Occasions Or Concert/Rave Festival",,,5
,14.49,0.06,EMERY ROSE Women's Plus Size Colorblock V-neckline Dress With Notched Neckline,5,In Blue Plus Size Dresses,4
800,12.69,0.07,SHEIN VCAY Random Printed Plus Size Vintage Style Women Dress,,,4
,59.69,0,Faeriesty Plus Mermaid Hem Sequin Formal Dress,,,
1100,10.59,0.08,SHEIN JORESS Plus Size Womens Summer Solid Color Notch V-Neck Bat Short Sleeve Loose Shirt,,,12
,16.59,0.07,SHEIN LUNE Plus Size Solid Color Sleeveless Spaghetti Strap Dress With Chest Pleats And Ruffle Hem For Summer,7,in Sundress,
5300,12.79,0.08,SHEIN Slayr Summer Beach Plus Tropical Print Cut Out Crisscross Tie Back Drawstring One Piece Swimsuit,,,
1800,14.19,0.07,SHEIN LUNE Plus Tropical Print Batwing Sleeve Knot Side Wrap Dress,,,12
5600,12.29,0.06,"SHEIN Slayr Plus Size Knitted Ribbed Tie Dye Printed Tank Top With Drawstring And Skirt, Perfect For Vacation & Leisure",,,5
1900,7.12,0.11,SHEIN LUNE Plus Contrast Lace Batwing Sleeve Tee,,,33
,7.02,0.12,SHEIN EZwear Plus Size Summer Casual Plaid & Floral Printing Shorts With Elastic Waistband,5,In Casual Plus Size Shorts,
800,7.88,0.11,SHEIN LUNE Plus Size Printed Notched Collar Casual Shirt,,,
2200,12.39,0.07,SHEIN Priv̩ Plus Size Summer Casual Sleeveless Blouse With Ruffle And Decorative Edge,,,
,20.69,0,"SHEIN Mulvari Printed Short Sleeve Long T-Shirt Dress, Arabic Style, Casual Short Sleeve Loose Maxi Dress",,,
,16.52,0.09,SHEIN VCAY Plus Size Summer Blue Tree Leaves Printed Kimono Shirt And Shorts Women Beach Two Piece Set,7,In Boho Women Plus Clothing,
,10.29,0.07,SHEIN Essnce Plus Eyelet Embroidery Cami Top,5,In White Plus Size Tank Tops & Camis,13
2600,16.69,0.07,SHEIN VCAY Plus Mandala Print Cami Dress,,,14
10,27.59,0.06,"SHEIN Lady Plus Size Women's Metal Zipper Carrot Jumpsuit With Cutout Shoulders, Summer",,,
1500,6.85,0.5,SHEIN Slayr Plus Size Tie-Dye Top And Shorts Casual Two-Piece Set,,,10
3200,10.79,0.07,SHEIN VCAY Plus Size Geometric Printed Embroidered V-Neck Shirt,,,9
2200,11.19,0.07,SHEIN LUNE Plus Size Women's Striped Cuff Tie Front Shirt,,,9
,15.99,0.07,SHEIN VCAY Plus Size Women's V-Neck Short Flutter Sleeve Dress,9,In Casual Plus Size Dresses,
500,5.69,0.08,SHEIN EZwear Plus Size Women's Solid Color Simple Daily Tank Top And Top,,,9
,20.29,0,SHEIN Mulvari Plus Size Round Neck Arabic Letter Printed Casual Short Sleeve Long Dress,,,
1600,16.39,0.08,SHEIN Clasi Plus Size Women's Solid Color Petal Short Sleeve Dress,,,4
1100,8.09,0.05,SHEIN Slayr Short-Sleeved T-Shirt With Slogan,,,4
1500,7.45,0.38,SHEIN Clasi Plus Size Women's Heart Print Petal Sleeve V-Neck Blouse,,,7
800,20.79,0.06,SHEIN CURVE+ Plus Size Solid Color V-Neck Off-Shoulder Casual Dress,,,6
800,7.75,0.29,SHEIN LUNE Plus Polka Dot Print Petal Sleeve Blouse,,,4
,25.19,0.07,SHEIN CURVE+ Plus Size Women's Printed V-Neck Jumpsuit,,,
2900,5.89,0.06,SHEIN EZwear Plus Lace Trim Ruched Side Crop Tube Top,,,12
3500,10.29,0.06,SHEIN Essnce Plus Size Round Neck Alphabet Print Short Sleeve T-Shirt For Summer,,,10
,9.3,0.11,SHEIN Clasi Plus Size Color Block Geometric Printed Notched Collar Short Sleeve Casual Shirt For Summer,10,In Short Sleeve Plus Size Blouses,5
50,18.79,0.2,AAmilife Plus Open Front Patch Pocket Cardigan,,,
600,11.77,0.12,SHEIN Frenchy Plus Size Vacation Casual Striped Short Sleeve Shirt With Color Blocking,,,
10,12.89,0.07,SHEIN Slayr Plus Size Women's Fashionable Color Block Sleeveless Vest Dress,,,
1000,14.59,0.08,SHEIN Frenchy Plus Size Floral Print V-Neckline Dress With Notched Neckline And Ruffle Hem,,,4
700,8.05,0.23,SHEIN Clasi Plus Geo Print Batwing Sleeve Blouse,,,
,10.79,0.08,SHEIN VCAY Plus Size Casual Short Sleeve Shirt With Random Print Design And Round Neckline For Summer,3,in Plus Size Tops,29
,12.39,0.07,SHEIN LUNE Plus Striped Print Tank Dress,6,In Blue Plus Size Dresses,6
6200,9.59,0.07,SHEIN LUNE Plus Camo Print Half Button Curved Hem Tee,,,
2900,8.45,0.28,SHEIN LUNE Plus Brush Print Notched Neckline Puff Sleeve Blouse,,,
,10.39,0.07,SHEIN Frenchy Plus Size Hollow Out Embroidered Flowers Round Neck Short Sleeve T-Shirt,8,In White Plus Size T-shirts,
40,13.55,0.4,SHEIN LUNE Plus Size Women's Rugby Style Hoodie With Heart Print And Drawstring,,,
3400,8.49,0.07,SHEIN LUNE Plus Size Women's V-Neck T-Shirt With Curve Hem,,,9
4700,9.3,0.1,SHEIN EZwear Plus Size Letter Print T-Shirt,,,6
3500,9.29,0.08,SHEIN VCAY Plus Size Random Printed Tie Front Short Sleeve Blouse,,,6
