selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
,8.4,0.13,SHEIN Tween Girls' Sports Street Fashion Knitted Solid Color Flare Pants For Spring/Summer,1,in Tween Girls Pants,4
5000,9.11,0.15,SHEIN Tween Girl's Knitted Tie-Dye Heart Printed T-Shirt + Color-Block Shorts Vacation Casual Sets,,,8
,10.36,0.12,"SHEIN Tween Girl Spring And Summer Boho Ripped High Waist Wrap Front Denim Skort, Summer Break Outfits",10,in Tween Girls Denim,
70,10.8,0.14,"Tween Girl 3pcs Knit Solid Color V-Neck Pintuck Short Sleeve T-Shirt Set, Casual",,,
,5.4,0.16,SHEIN Young Girl Ditsy Floral & Heart Print Belted Tank Romper,3,in Young Girls Bodysuits & Jumpsuits,12
,9.8,0.15,"SHEIN Mommy And Me Matching Outfits (2 Pieces Sold Separately) - Woven Red Vacation Beach Maxi Dress With Ruffle Hem And Bow For Young Girls, Perfect For Summer, Travel, And Mother-Daughter Outfits",,,
,6,0.06,"Tween Girl 1pc Casual Printed Crewneck Pullover Short Sleeve T-Shirt, Summer, Youth Clothing",1,in Tween Girls Clothing,
,12.9,0.07,SHEIN Tween Girl Solid Pleated Denim Skirt,2,in Tween Girls Denim Skirts,
10000,11.8,0.06,SHEIN Teen Girls Ripped Raw Hem Denim Shorts,,,5
100,6.45,0.33,Little Girls' Simple Letter Printed T-Shirt And Belted Shorts 2pcs/Set,,,
800,18,0.08,"Young Girl Summer Solid Color Heart Pattern Shorts Set, Multiple Pieces For Daily Outfits",,,
,10.3,0.06,SHEIN Teen Girl Floral Knit V-Neck Swimsuit & Swim Trunks Set,,,
9100,11.46,0.33,SHEIN Young Girl Letter Printed Short-Sleeved Shorts Three-Color Casual Suit Summer,,,12
1900,3.8,0.14,1pc Young Boy Slogan Printed Short Sleeve T-Shirt,,,
,5.5,0.08,"Young Girl Elegant And Flower Patterned Button Design Tank Top With Elastic Shorts Set, Suitable For Vacation And Travel In Spring And Summer",9,in Young Girls Clothing,6
900,5.56,0.38,Tween Girl Floral Print Round Neck Short Sleeve T-Shirt And Shorts Casual Outfit For Summer,,,4
700,5.7,0.12,Tween Girl Casual Round Neck Knitted Printed T-Shirt,,,
,4.6,0.32,"Girls' Teenagers Casual Apricot-Colored Round-Neck Pullover Short Sleeve T-Shirt With Printed Design, Summer Top",,,
100,6.5,0.14,2pcs Young Boys' Custom Game Controller Printed Short Sleeve T-Shirt And English Printed Shorts Set,,,
10,5.1,0.07,"6pairs, Y2K Cool Fantasy Classic Fashion Glasses, Color Matching Style, For Boys Girls Outdoor Sports Party Vacation Travel Supplies Photo Prop",,,
7200,8,0.12,Tween Girl Mock Neck Tank Top & Paperbag Waist Belted Shorts,,,11
10000,16,0.15,SHEIN Young Boy 3pcs Animal Print Tee & 3pcs Shorts,,,12
,9.9,0.14,SHEIN Tween Girl Cool Street Style Knit Round Neck Short Sleeve T-Shirt And Plaid Pattern Shorts Set,4,in Tween Girls Sets,5
10,9.1,0.15,"2pcs Young Boys' Casual Dinosaur Printed Black Overalls And Solid Color Round Neck Short Sleeve T-Shirt Set, Suitable For Daily Wear, School, Travel, Sports, Spring And Summer Seasons",,,
,6.37,0.17,Tween Girl's Casual Tie-Dye Pattern Short Sleeve T-Shirt And Shorts Set For Summer,5,in Tween Girls Sets,7
,13.5,0.13,SHEIN Tween Girl Character & Letter Printed Short Sleeve T-Shirt And Irregular Hem Denim Skort 2pcs/Set,10,in Tween Girls Sets,4
,9.3,0.15,SHEIN Young Girl Casual & Comfortable Knitted Sporty Tank Dress,3,in Young Girls Activewear,8
,10.59,0.15,SHEIN Tween Girls' Everyday Casual Tropical Print Cami Top And Pants Set,7,in Tween Girls Sets,
,13.1,0.13,Tween Girl Spider Web Print Zip Up Hoodie Without Tee,1,in Tween Girls Sweatshirts,
20,0.65,0.62,"1pc Korean Fashionable Elegant Earrings With Pearl & Diamond Inlaid Heart Pendant, Can Be Worn In Two Ways, For Women",,,
6900,6.5,0.16,SHEIN Young Girl Ditsy Floral Print Ruffle Trim Cami Top & Paperbag Waist Skirt,,,12
,11.4,0.14,SHEIN Young Girl Summer Casual Short Sleeve T-Shirt With Graphic Print And Distressed Denim Shorts Outfit Set,9,in Young Girls Sets,
900,3.85,0.23,SHEIN Teen Girls Solid Ruched Bust Tank Top,,,
,11.21,0.12,SHEIN Tween Girls' Casual Floral Print Square Collar Cap Sleeve Dress For Spring And Summer,3,in Tween Girls Dresses,
300,7.25,0.09,"Young Boys' Funny Expression Fluorescent Printed T-Shirt And Shorts Set, Summer",,,
,6.5,0.08,Solid Color Mini Crocodile Pattern Princess Handbag Crossbody Bag,,,7
,10.59,0.14,SHEIN Teen Girl Letter Graphic Cami Top & Shorts & Mesh Top,7,in Teen Girls Sets,4
900,6,0.08,Young Girl Abstract Printed Sleeveless Halter Top And Casual Shorts Set For Summer,,,
600,3.65,0.47,SHEIN Solid Color Tank Top Suitable For Summer Teen Girls' Side Drawstring Tank Top,,,7
200,9.87,0.16,Young Girl Summer Cute Cartoon Printed Short Sleeve T-Shirt,,,9
3000,8.2,0.08,Young Girl Unicorn Pattern Printed Short Sleeve Top And Denim Print Skirt,,,
,10,0.12,Tie-Dye Pattern Casual Pants For Teen Girls,,,
,16,0.07,"SHEIN Tween Girls Y2K Spring Summer Boho Stonewashed Causal Ripped Baggy Wide Leg Denim Jeans With Slant Pocket,Girls Summer Clothes Outfits",8,in Tween Girls Denim,
,10.1,0.07,SHEIN Tween Girl Cross Wrap Bikini Swimsuit With Tropical Print Beach Skirt,10,in Tween Girls Bikini Sets,6
,7.7,0.14,SHEIN Young Boy Casual Tropical Letter Print Short Sleeve T-Shirt And Shorts Summer Set,1,in Young Boys Clothing,7
,4,0.13,"Young Girl's Summer Loose Fit Casual T-Shirt With Slogan Print, Round Neckline And Drop Shoulder Sleeves",,,
,17.9,0.13,SHEIN Teen Girl Baseball Jacket With Letter Embroidery And Pleated Skirt Set,,,7
,13.49,0.22,Teen Boy Sports Casual Knitted Straight Leg Sweatpants With Woven Stripes,9,in Teen Boys Sweatpants,
2900,7.1,0.14,"Dinosaurs, Summer, 2pcs Young Boy Casual Cartoon Creative Dinosaur Pattern Short Sleeve T-Shirt And Shorts, Suitable For Summer",,,
,8.25,0.16,SHEIN Tween Girls Leopard Print Patchwork Top And Shorts Two-Piece Set,,,7
2700,7.9,0.14,Young Girl Cartoon Printed Round Neck Short Sleeve T-Shirt And Solid Color Pleated Skirt Casual 2pc Outfit,,,
10000,4,0.13,Young Girls' Bowknot Printed Round Neck Short Sleeve T-Shirt,,,
300,3.9,0.19,Tween Girl Summer Casual Short-Sleeved T-Shirt With Independence Day Character Letter Print 4th Of July Outfit,4,in Tween Girls T-Shirts,
,5.7,0.14,SHEIN Young Girl American Vintage Knitted Tie-Dye Heart Pattern Round Neck Short Sleeve T-Shirt,,,4
,6.5,0.14,Summer Trendy Sporty Casual Two-Piece Set For Little Girls,,,5
3700,7.5,0.14,SHEIN Young Girl Monochrome Crop Top With Letter Back & Skort Sports Suit,9,in Young Girls Activewear,8
300,7.43,0.15,SHEIN Tween Girl Star Print Cami Top & Striped Bow Front Shorts,,,
,3.96,0.49,"SHEIN Young Boy Gray Striped Sports & Casual Fashionable Jogger Pants, Suitable For Summer And Autumn",,,9
2800,6.84,0.19,"SHEIN Young Boy Casual Letter Print Short Sleeve Tee And Shorts 2pcs/Set, Summer",,,7
100,12.5,0.15,"Tween Girl Colorblock Short Sleeve Top With Contrasting Trim, Front Button Closure & Pocket Details And Shorts Summer Casual 2pcs Set",,,
1500,12.8,0.07,"SHEIN Tween Girl Spring Summer Boho Ripped Raw Hem Denim Jeans Shorts,Girls Summer Clothes Outfits",1,in Tween Girls Denim,5
80,7.06,0.09,Young Girl's Summer Creative Heart Printed Round Neck Short Sleeve T-Shirt And Shorts Set,,,
,15.3,0.1,"Tween Girl Blue Denim Jeans With Five-Pointed Star, Frayed Hem And Wide-Leg Casual Pants",8,in Tween Girls Jeans,
600,11.3,0.13,"1pair Black Large Size Teenage Girls' Roman Sandals With Folded PU Fabric, Sparkling Back Strap, Hook And Loop Fastener, Round Toe, Peep-Toe Style, Flat & Comfortable, Suitable For Girls Aged 3 And Above For Casual, Vacation, Beach, Parent-Child Wear In Summer",,,
,5.57,0.34,Young Girl Letter Graphic Cami Romper With Tee,,,6
,13.9,0.08,"6pcs Girls' Casual Tie Dye Printed Short Sleeve T-Shirt And Shorts Set, Summer",,,
2100,9.7,0.14,Young Girl Cartoon Unicorn Print Short Sleeve And Shorts Casual Two-Piece Set Snug Fit Home Clothing,10,in Young Girls Clothing,4
600,1.86,0.31,"1pc White Litchi Embossed PU Polyurethane Strap Casual Round Dial Quartz Watch & 1pc Rhinestone Decor Bracelet, For Daily Life Holiday",,,
,10.36,0.17,SHEIN Teen Girl Summer Knit Letter Patchwork Round Neck T-Shirt And Shorts Casual Two-Piece Set,9,in Teen Girls Sets,7
10,24.99,0,"Badgley Mischka Girls' Heels Dress Shoes, Zip Closure, Shiny Rhinestones. (Little Kids/Big Kids/Teens)",,,
,10.5,0.14,"Young Girl Simple Multicolor Tight-Fit 5pcs Shorts Set For Sport, Yoga, Running",1,in Young Girls Leggings,9
,8,0.14,Young Girl Toddler Girls Ruffle Hem Cami Top & Butterfly Print Flare Leg Pants,,,
